Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
Peugeot e-208 51 kWh,310 km,"48,1 kWh",155 Wh/km,0 kg,80 kW,1.550 kg,"8,2 sec",338 km,€126 /km,265 L,"€40,875","€39,170","£32,400"
Citroen e-C4 X 54 kWh,340 km,"50,8 kWh",149 Wh/km,0 kg,78 kW,1.552 kg,"10,1 sec",364 km,€107 /km,510 L,"€34,800","€38,165",N/A
MG MG4 Electric XPOWER,320 km,"61,7 kWh",193 Wh/km,500 kg,115 kW,1.878 kg,"3,8 sec",361 km,€137 /km,363 L,"€46,990","€42,285","£36,495"
Tesla Model S P85D,390 km,"80,8 kWh",207 Wh/km,unknown,95 kW,2.262 kg,"3,3 sec",393 km,€300 /km,895 L,"€115,000","€119,000",N/A
Mercedes-Benz EQE 350+,530 km,"90,6 kWh",171 Wh/km,750 kg,141 kW,2.360 kg,"6,4 sec",579 km,€155 /km,430 L,N/A,"€82,028",N/A
CUPRA Born 170 kW - 59 kWh,360 km,"59,0 kWh",164 Wh/km,0 kg,110 kW,1.841 kg,"6,7 sec",416 km,€109 /km,385 L,"€41,450","€34,990","£35,495"
Jaguar I-Pace EV400,380 km,"84,7 kWh",223 Wh/km,750 kg,85 kW,2.208 kg,"4,8 sec",360 km,€207 /km,505 L,"€76,815","€83,077","£66,350"
BYD SEAL 61.4 kWh RWD Comfort,370 km,"61,4 kWh",166 Wh/km,750 kg,75 kW,1.982 kg,"7,5 sec",387 km,€113 /km,453 L,N/A,"€41,690",N/A
Polestar 3 Long Range Single motor,500 km,"107,0 kWh",214 Wh/km,1.500 kg,150 kW,2.575 kg,"7,8 sec",542 km,€159 /km,516 L,"€78,590","€79,950","£69,900"
Volkswagen ID.7 Tourer GTX,480 km,"86,0 kWh",179 Wh/km,1.200 kg,145 kW,2.339 kg,"5,5 sec",546 km,€142 /km,605 L,"€63,955","€68,990","£62,670"
Polestar 2 Standard Range Single Motor,415 km,"68,0 kWh",164 Wh/km,1.500 kg,110 kW,2.020 kg,"6,4 sec",464 km,€117 /km,448 L,"€48,990","€44,950","£44,950"
Polestar 2 Long Range Single Motor,470 km,"79,0 kWh",168 Wh/km,1.500 kg,125 kW,2.084 kg,"6,2 sec",530 km,€112 /km,446 L,"€49,975","€51,200","£48,950"
Tesla Model X 75D,335 km,"72,5 kWh",216 Wh/km,2.250 kg,80 kW,2.427 kg,"5,2 sec",336 km,€283 /km,unknown,"€93,500","€99,670","£79,400"
Mazda MX-30 ,170 km,"30,0 kWh",176 Wh/km,0 kg,34 kW,1.720 kg,"9,7 sec",159 km,€198 /km,366 L,"€34,490","€33,140","£29,150"
Audi e-tron GT RS,405 km,"85,0 kWh",210 Wh/km,0 kg,216 kW,2.420 kg,"3,3 sec",511 km,€361 /km,451 L,"€146,050","€155,225","£119,000"
Volkswagen ID.4 Pure,285 km,"52,0 kWh",182 Wh/km,1.000 kg,70 kW,1.966 kg,"10,9 sec",301 km,€146 /km,543 L,"€36,950","€42,940","£38,845"
Nissan e-NV200 Evalia ,170 km,"37,0 kWh",218 Wh/km,0 kg,40 kW,1.667 kg,"14,0 sec",157 km,€248 /km,2.000 L,"€43,730","€45,173","£32,755"
Volkswagen ID.3 Pro Performance,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.812 kg,"7,3 sec",375 km,€129 /km,385 L,"€43,995","€45,990","£39,425"
Volvo XC40 Recharge Pure Electric,330 km,"67,0 kWh",203 Wh/km,1.500 kg,116 kW,2.023 kg,"7,4 sec",355 km,€146 /km,450 L,"€45,080","€46,995","£45,750"
Audi A6 Avant e-tron ,475 km,"75,8 kWh",160 Wh/km,2.100 kg,150 kW,2.185 kg,"6,0 sec",570 km,€137 /km,529 L,"€64,450","€65,490",N/A
Renault 5 E-Tech 40kWh 120hp,255 km,"40,0 kWh",157 Wh/km,500 kg,55 kW,1.400 kg,"9,0 sec",267 km,€108 /km,326 L,"€27,900","€27,990","£22,995"
XPENG P7 Wing Edition,455 km,"82,7 kWh",182 Wh/km,0 kg,138 kW,2.255 kg,"4,1 sec",514 km,€155 /km,440 L,"€69,600","€71,188",N/A
Nissan Leaf e+,340 km,"59,0 kWh",174 Wh/km,0 kg,44 kW,1.756 kg,"6,9 sec",291 km,€121 /km,420 L,"€41,100","€41,890","£34,945"
Ford Explorer Extended Range AWD,430 km,"79,0 kWh",184 Wh/km,1.200 kg,135 kW,2.267 kg,"5,3 sec",483 km,€131 /km,536 L,"€52,430","€53,950","£53,975"
Alfa Romeo Junior Elettrica 54 kWh,320 km,"50,8 kWh",159 Wh/km,0 kg,85 kW,1.620 kg,"9,0 sec",341 km,€122 /km,400 L,"€39,500","€39,000","£33,895"
Volvo EX40 Single Motor,345 km,"67,0 kWh",194 Wh/km,1.500 kg,110 kW,2.040 kg,"7,3 sec",383 km,€144 /km,441 L,"€49,990","€45,995","£45,955"
BMW i4 xDrive40,490 km,"81,3 kWh",166 Wh/km,1.600 kg,131 kW,2.260 kg,"5,1 sec",558 km,€137 /km,470 L,"€63,000","€65,899","* £63,000"
Renault Megane E-Tech EV60 130hp,380 km,"60,0 kWh",158 Wh/km,500 kg,87 kW,1.699 kg,"10,5 sec",410 km,€111 /km,440 L,"€47,000","€37,490",N/A
Audi A6 Avant e-tron quattro,535 km,"94,9 kWh",177 Wh/km,2.100 kg,200 kW,2.370 kg,"4,5 sec",649 km,€152 /km,529 L,"€81,450","€81,490",N/A
Mini Cooper E,250 km,"36,6 kWh",146 Wh/km,0 kg,60 kW,1.615 kg,"7,3 sec",267 km,€138 /km,200 L,"€32,900","€35,990","£30,000"
Tesla Model S 70D,350 km,"66,5 kWh",190 Wh/km,unknown,95 kW,2.156 kg,"5,4 sec",369 km,€240 /km,895 L,"€83,500","€84,800",N/A
Mini Cooper SE ,180 km,"28,9 kWh",161 Wh/km,0 kg,44 kW,1.440 kg,"7,3 sec",183 km,€179 /km,211 L,"€32,500","€35,170","£25,100"
Peugeot e-2008 SUV ,270 km,"46,3 kWh",171 Wh/km,0 kg,78 kW,1.623 kg,"8,5 sec",294 km,€146 /km,434 L,"€37,900","€40,070","£35,150"
Lotus Eletre ,495 km,"109,0 kWh",220 Wh/km,2.250 kg,259 kW,2.565 kg,"4,5 sec",604 km,€202 /km,657 L,"€96,990","€98,690","£90,805"
Volkswagen ID.4 GTX,420 km,"77,0 kWh",183 Wh/km,1.200 kg,120 kW,2.256 kg,"5,4 sec",460 km,€137 /km,543 L,"€53,255","€57,490","£53,865"
BMW i3 60 Ah,115 km,"18,8 kWh",163 Wh/km,unknown,41 kW,1.270 kg,"7,2 sec",133 km,€297 /km,260 L,"€34,950","€35,500","£27,850"
Seres 3 ,260 km,"51,0 kWh",196 Wh/km,0 kg,50 kW,1.765 kg,"8,9 sec",232 km,€146 /km,318 L,N/A,"€37,995",N/A
Nissan Leaf 24 kWh,135 km,"22,0 kWh",163 Wh/km,unknown,36 kW,1.505 kg,"11,5 sec",144 km,€213 /km,370 L,"€29,690","€31,590","£21,680"
Tesla Model X Long Range,440 km,"95,0 kWh",216 Wh/km,2.250 kg,110 kW,2.505 kg,"4,6 sec",463 km,€206 /km,unknown,"€85,990","€90,005","£82,980"
Audi Q4 e-tron 35,285 km,"52,0 kWh",182 Wh/km,1.000 kg,90 kW,1.990 kg,"9,0 sec",324 km,€160 /km,520 L,"€45,600",N/A,N/A
Volkswagen ID.3 Pro,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.805 kg,"9,6 sec",378 km,€100 /km,385 L,"€34,995","€36,890","£28,420"
BMW i7 M70 xDrive,490 km,"101,7 kWh",208 Wh/km,0 kg,159 kW,2.770 kg,"3,7 sec",534 km,€381 /km,500 L,"€181,800","€189,877","£163,315"
Citroen e-C4 54 kWh,335 km,"50,8 kWh",152 Wh/km,0 kg,78 kW,1.536 kg,"10,0 sec",358 km,€106 /km,380 L,"€34,100","€37,465","£30,150"
Mercedes-Benz EQS 450 4MATIC,660 km,"118,0 kWh",179 Wh/km,1.700 kg,160 kW,2.630 kg,"5,7 sec",704 km,€174 /km,620 L,"€113,359","€115,745",N/A
Cadillac Lyriq 600 E4,460 km,"102,0 kWh",222 Wh/km,1.587 kg,165 kW,2.774 kg,"5,3 sec",492 km,€175 /km,793 L,"€80,500",N/A,N/A
BMW iX M70 xDrive,500 km,"108,9 kWh",218 Wh/km,2.500 kg,150 kW,2.655 kg,"3,8 sec",524 km,€258 /km,500 L,"€124,900","€131,414","£114,205"
Polestar 2 Long Range Dual Motor,450 km,"79,0 kWh",176 Wh/km,1.500 kg,125 kW,2.183 kg,"4,5 sec",507 km,€125 /km,446 L,"€52,275","€55,200","£52,950"
Volkswagen ID.4 GTX,400 km,"77,0 kWh",193 Wh/km,1.200 kg,115 kW,2.239 kg,"6,3 sec",434 km,€147 /km,543 L,"€53,255","€61,790","£52,865"
VinFast VF 9 Extended Range,515 km,"123,0 kWh",239 Wh/km,unknown,130 kW,2.900 kg,"6,5 sec",492 km,€176 /km,287 L,"€89,790","€91,300",N/A
BMW i5 eDrive40 Sedan,480 km,"81,2 kWh",169 Wh/km,1.500 kg,136 kW,2.195 kg,"6,0 sec",547 km,€155 /km,490 L,"€70,200","€78,608",N/A
Nissan Leaf ,125 km,"22,0 kWh",176 Wh/km,unknown,36 kW,1.600 kg,"11,9 sec",138 km,€243 /km,330 L,"€33,990","€32,590","£21,490"
MG Marvel R ,365 km,"70,0 kWh",192 Wh/km,750 kg,82 kW,1.885 kg,"7,9 sec",344 km,€125 /km,507 L,"€46,990","€44,485",N/A
Mercedes-Benz EQV 300 Long,310 km,"90,0 kWh",290 Wh/km,0 kg,96 kW,2.635 kg,"12,1 sec",285 km,€276 /km,1.030 L,"€71,626","€83,617","£87,995"
BMW iX M60,485 km,"105,2 kWh",217 Wh/km,2.500 kg,149 kW,2.659 kg,"3,8 sec",515 km,€285 /km,500 L,"€136,100","€137,041","£122,775"
Audi Q4 e-tron 55 quattro,395 km,"77,0 kWh",195 Wh/km,1.200 kg,120 kW,2.235 kg,"5,4 sec",437 km,€160 /km,520 L,"€59,000","€64,615","£57,125"
BMW i5 M60 xDrive Sedan,420 km,"81,2 kWh",193 Wh/km,2.000 kg,136 kW,2.380 kg,"3,8 sec",479 km,€255 /km,490 L,"€99,500","€109,463","£97,745"
Peugeot e-308 ,300 km,"50,8 kWh",169 Wh/km,0 kg,80 kW,1.759 kg,"9,8 sec",324 km,€150 /km,412 L,"€44,765","€42,070","£42,025"
Kia EV6 GT,385 km,"80,0 kWh",208 Wh/km,1.800 kg,205 kW,2.220 kg,"3,5 sec",477 km,€185 /km,500 L,"€69,990","€68,495","* £65,000"
Ford Mustang Mach-E ER AWD,440 km,"91,0 kWh",207 Wh/km,1.500 kg,115 kW,2.257 kg,"5,8 sec",447 km,€158 /km,422 L,"€65,900","€66,940","£65,405"
Alpine A290 Electric 220 hp,305 km,"52,0 kWh",170 Wh/km,500 kg,70 kW,1.579 kg,"6,4 sec",316 km,€137 /km,326 L,"€41,900","€41,800","£36,000"
Tesla Model X 90D,395 km,"85,5 kWh",216 Wh/km,unknown,90 kW,2.464 kg,"5,0 sec",387 km,€287 /km,unknown,"€113,300","€113,285",N/A
Volkswagen ID.4 1st,410 km,"77,0 kWh",188 Wh/km,1.000 kg,125 kW,2.124 kg,"8,5 sec",436 km,€116 /km,543 L,"€48,691","€47,355","£40,800"
Audi e-tron GT S,540 km,"97,0 kWh",180 Wh/km,0 kg,240 kW,2.385 kg,"3,4 sec",678 km,€234 /km,482 L,"€126,000","€129,990","£107,730"
Audi Q4 e-tron 35,285 km,"52,0 kWh",182 Wh/km,0 kg,70 kW,1.965 kg,"9,0 sec",301 km,€173 /km,520 L,"€44,700","€52,105","£44,690"
Skoda Enyaq iV 80x,425 km,"77,0 kWh",181 Wh/km,1.200 kg,115 kW,2.193 kg,"6,9 sec",467 km,€126 /km,585 L,"€49,050","€52,690","£50,805"
Tesla Model S 75,380 km,"72,5 kWh",191 Wh/km,unknown,80 kW,2.102 kg,"4,6 sec",386 km,€189 /km,895 L,"€69,970","€81,285","£55,880"
Volkswagen ID.3 1st,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.794 kg,"7,3 sec",375 km,€113 /km,385 L,"€38,987","€37,990","£35,880"
Skoda Enyaq Coupe 85x,465 km,"77,0 kWh",166 Wh/km,1.200 kg,120 kW,2.234 kg,"6,7 sec",517 km,€120 /km,570 L,"€53,400",N/A,"£50,660"
Hyundai IONIQ 5 Long Range AWD,365 km,"70,0 kWh",192 Wh/km,1.600 kg,185 kW,2.095 kg,"5,2 sec",452 km,€143 /km,555 L,"€49,900","€54,500","£45,145"
Nissan Leaf 30 kWh,170 km,"28,0 kWh",165 Wh/km,unknown,45 kW,1.538 kg,"11,5 sec",173 km,€191 /km,370 L,"€33,960","€33,590","£25,825"
Tesla Model X P100D,420 km,"95,0 kWh",226 Wh/km,2.250 kg,100 kW,2.572 kg,"3,1 sec",413 km,€374 /km,unknown,"€156,900","€160,220","£134,150"
Polestar 3 Long Range Dual motor,485 km,"107,0 kWh",221 Wh/km,2.200 kg,150 kW,2.660 kg,"5,0 sec",526 km,€179 /km,516 L,"€85,590","€86,950","£75,900"
Opel Ampera-e ,335 km,"58,0 kWh",173 Wh/km,0 kg,39 kW,1.691 kg,"7,3 sec",286 km,€115 /km,381 L,"€42,990","€34,149",N/A
Renault Zoe R110,250 km,"41,0 kWh",164 Wh/km,0 kg,0 kW,1.575 kg,"11,4 sec",182 km,€132 /km,338 L,"€35,900","€35,090","£24,320"
Alfa Romeo Junior Elettrica 54 kWh Veloce,310 km,"50,8 kWh",164 Wh/km,0 kg,85 kW,1.635 kg,"6,0 sec",327 km,€156 /km,400 L,"€48,500","€48,000","£42,295"
Mercedes-Benz EQB 350 4MATIC,345 km,"66,5 kWh",193 Wh/km,1.700 kg,100 kW,2.165 kg,"6,2 sec",357 km,€187 /km,495 L,"€58,197","€69,728","£56,810"
Tesla Model S P90D,415 km,"85,5 kWh",206 Wh/km,unknown,90 kW,2.262 kg,"3,3 sec",408 km,€292 /km,895 L,"€120,300","€122,400",N/A
Peugeot e-408 58 kWh,375 km,"58,2 kWh",155 Wh/km,unknown,70 kW,1.804 kg,"7,2 sec",390 km,€119 /km,471 L,"€44,600","€44,780",N/A
Hyundai Kona Electric 64 kWh,390 km,"64,0 kWh",164 Wh/km,0 kg,64 kW,1.760 kg,"7,6 sec",363 km,€101 /km,332 L,"€39,000","€40,995","£32,845"
Lucid Air Touring,580 km,"92,0 kWh",159 Wh/km,0 kg,160 kW,2.150 kg,"3,2 sec",669 km,€173 /km,739 L,"€99,000","€102,000",N/A
Toyota PROACE Verso M 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.211 kg,"13,3 sec",250 km,€218 /km,603 L,N/A,"€60,590","£45,769"
Opel Grandland 82 kWh,410 km,"82,2 kWh",200 Wh/km,1.200 kg,100 kW,2.220 kg,"9,0 sec",420 km,€125 /km,550 L,"€51,950","€50,499",N/A
Smart EQ forfour ,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.200 kg,"12,7 sec",66 km,€241 /km,185 L,"€19,120","€23,995","£22,295"
Volvo XC40 Recharge Single Motor ER,400 km,"79,0 kWh",198 Wh/km,1.500 kg,125 kW,2.075 kg,"7,3 sec",441 km,€131 /km,441 L,"€53,000","€51,495",N/A
Kia e-Niro 64 kWh,375 km,"64,0 kWh",171 Wh/km,0 kg,64 kW,1.812 kg,"7,8 sec",349 km,€106 /km,451 L,"€39,090","€42,510","£32,995"
NIO ET7 Long Range,505 km,"90,0 kWh",178 Wh/km,2.000 kg,100 kW,2.454 kg,"3,8 sec",509 km,€183 /km,363 L,"€90,900","€93,900",N/A
Mercedes-Benz EQB 250,385 km,"66,5 kWh",173 Wh/km,0 kg,100 kW,2.110 kg,"8,9 sec",397 km,€146 /km,495 L,"€52,550","€59,917",N/A
Mercedes-Benz EQA 250,395 km,"66,5 kWh",168 Wh/km,750 kg,100 kW,2.040 kg,"8,6 sec",405 km,€137 /km,340 L,"€50,777","€57,618",N/A
Mercedes-Benz EQE SUV 500 4MATIC,435 km,"90,6 kWh",208 Wh/km,1.800 kg,141 kW,2.560 kg,"4,9 sec",468 km,€262 /km,520 L,"€99,841","€116,755","£108,760"
Renault Kangoo E-Tech Electric,225 km,"45,0 kWh",200 Wh/km,1.500 kg,50 kW,1.871 kg,"12,6 sec",221 km,€159 /km,950 L,"€35,850",N/A,N/A
Polestar 3 Long Range Performance,470 km,"107,0 kWh",228 Wh/km,2.200 kg,150 kW,2.660 kg,"4,7 sec",506 km,€198 /km,516 L,"€92,190","€93,550","£81,500"
Skoda Enyaq 85x,440 km,"77,0 kWh",175 Wh/km,1.200 kg,120 kW,2.222 kg,"6,6 sec",485 km,€122 /km,585 L,"€51,150",N/A,"£48,605"
Mercedes-Benz EQE SUV 350+,475 km,"96,0 kWh",202 Wh/km,750 kg,141 kW,2.490 kg,"6,9 sec",503 km,€186 /km,520 L,"€86,811","€91,950","£75,495"
Mini Aceman SE,290 km,"49,2 kWh",170 Wh/km,750 kg,75 kW,1.785 kg,"7,1 sec",308 km,€141 /km,300 L,"€39,550","€40,990","£36,300"
Mercedes-Benz EQS SUV Maybach 680,490 km,"118,0 kWh",241 Wh/km,1.800 kg,160 kW,3.075 kg,"4,4 sec",507 km,€441 /km,440 L,"€200,634","€216,780","£200,860"
Volvo C40 Recharge Twin Motor,400 km,"79,0 kWh",198 Wh/km,1.800 kg,125 kW,2.185 kg,"4,7 sec",443 km,€154 /km,450 L,"€61,400","€61,495","£53,605"
Mini Countryman SE ALL4,365 km,"64,6 kWh",177 Wh/km,1.200 kg,93 kW,2.075 kg,"5,6 sec",389 km,€140 /km,460 L,"€49,500","€49,490","£47,180"
Kia e-Soul 64 kWh,370 km,"64,0 kWh",173 Wh/km,0 kg,64 kW,1.757 kg,"7,9 sec",343 km,€122 /km,315 L,"€47,450","€42,695","£39,075"
Mercedes-Benz EQE SUV 350 4MATIC,435 km,"90,6 kWh",208 Wh/km,1.800 kg,141 kW,2.560 kg,"6,6 sec",468 km,€215 /km,520 L,"€89,548","€99,089","£79,940"
Volkswagen ID. Buzz NWB Pro,360 km,"79,0 kWh",219 Wh/km,1.200 kg,135 kW,2.510 kg,"7,6 sec",398 km,€169 /km,1.121 L,"€60,892","€53,990","£59,035"
Skoda CITIGOe iV ,205 km,"32,3 kWh",158 Wh/km,0 kg,30 kW,1.235 kg,"12,3 sec",188 km,€110 /km,250 L,"€24,534","€23,290","£17,455"
Volkswagen ID.3 Pro S,450 km,"77,0 kWh",171 Wh/km,0 kg,115 kW,1.934 kg,"7,9 sec",488 km,€96 /km,385 L,"€41,995",N/A,"£38,800"
Maserati GranTurismo Folgore,420 km,"83,0 kWh",198 Wh/km,unknown,190 kW,2.335 kg,"2,7 sec",518 km,€480 /km,270 L,"€198,212","€199,250","£179,950"
MG Marvel R Performance,350 km,"70,0 kWh",200 Wh/km,750 kg,82 kW,1.995 kg,"4,9 sec",335 km,€148 /km,357 L,"€50,990","€52,485",N/A
Nissan Ariya e-4ORCE 87kWh - 225 kW,405 km,"87,0 kWh",215 Wh/km,1.500 kg,110 kW,2.259 kg,"5,7 sec",400 km,€141 /km,415 L,"€57,490","€54,990","£50,845"
Mercedes-Benz EQS 450+,635 km,"108,4 kWh",171 Wh/km,750 kg,173 kW,2.515 kg,"6,1 sec",702 km,€180 /km,620 L,"€109,551","€112,720","£105,610"
Volkswagen ID. Buzz NWB Pure,275 km,"59,0 kWh",215 Wh/km,1.000 kg,105 kW,2.400 kg,"10,7 sec",308 km,€182 /km,1.121 L,"€49,998","€49,990",N/A
Lexus UX 300e,235 km,"45,0 kWh",191 Wh/km,0 kg,32 kW,1.860 kg,"7,5 sec",199 km,€198 /km,316 L,"€47,550","€51,995","£34,770"
BMW i7 eDrive50,520 km,"101,7 kWh",196 Wh/km,0 kg,159 kW,2.595 kg,"5,5 sec",572 km,€227 /km,500 L,"€115,700","€122,463","£100,205"
Renault Scenic E-Tech EV60 170hp,340 km,"60,0 kWh",176 Wh/km,1.100 kg,75 kW,1.822 kg,"8,6 sec",354 km,€124 /km,545 L,"€41,400","€42,470","£37,495"
MG MG5 Electric Standard Range,265 km,"46,0 kWh",174 Wh/km,500 kg,60 kW,1.637 kg,"7,7 sec",276 km,€135 /km,479 L,"€35,490","€35,885",N/A
Smart #3 Premium,355 km,"62,0 kWh",175 Wh/km,1.600 kg,100 kW,1.885 kg,"5,8 sec",388 km,€131 /km,385 L,"€46,490","€46,055","£40,450"
Mercedes-Benz EQS SUV 580 4MATIC,530 km,"118,0 kWh",223 Wh/km,1.800 kg,160 kW,2.845 kg,"4,7 sec",543 km,€303 /km,645 L,"€147,923","€173,825","£139,470"
Opel Corsa-e ,285 km,"46,3 kWh",162 Wh/km,0 kg,78 kW,1.530 kg,"8,1 sec",311 km,€107 /km,309 L,"€29,900","€30,599","£27,140"
Lexus RZ 300e,365 km,"64,0 kWh",175 Wh/km,750 kg,100 kW,2.030 kg,"8,0 sec",401 km,€152 /km,522 L,"€54,890","€54,495","£49,995"
Volkswagen ID.3 Pure Performance,275 km,"45,0 kWh",164 Wh/km,0 kg,45 kW,1.772 kg,"8,9 sec",252 km,€116 /km,385 L,"€31,960","€32,190","£27,120"
NIO EL6 Long Range,435 km,"90,0 kWh",207 Wh/km,1.200 kg,135 kW,2.398 kg,"4,5 sec",471 km,€174 /km,579 L,"€74,500","€76,900",N/A
Jaguar I-Pace EV400,380 km,"84,7 kWh",223 Wh/km,750 kg,85 kW,2.208 kg,"4,8 sec",360 km,€205 /km,505 L,"€77,300","€81,800","£64,495"
Mercedes-Benz EQE 300,525 km,"89,0 kWh",170 Wh/km,750 kg,120 kW,2.405 kg,"7,3 sec",566 km,€131 /km,430 L,"€67,187","€69,928",N/A
Porsche Taycan ,495 km,"82,3 kWh",166 Wh/km,0 kg,195 kW,2.165 kg,"4,8 sec",622 km,€207 /km,491 L,"€101,500","€107,000","£86,500"
Renault Zoe ZE40 R110,255 km,"41,0 kWh",161 Wh/km,0 kg,40 kW,1.502 kg,"11,4 sec",232 km,€118 /km,338 L,"€29,990",N/A,N/A
Volkswagen ID. Buzz LWB GTX ,355 km,"86,0 kWh",242 Wh/km,1.600 kg,145 kW,2.700 kg,"6,5 sec",391 km,€210 /km,1.340 L,"€74,928","€70,990","£67,795"
Lotus Eletre R,455 km,"109,0 kWh",240 Wh/km,2.250 kg,259 kW,2.725 kg,"2,9 sec",559 km,€326 /km,657 L,"€151,990","€154,090","£121,305"
Polestar 2 Long Range Dual Motor,455 km,"79,0 kWh",174 Wh/km,1.500 kg,125 kW,2.175 kg,"4,5 sec",514 km,€127 /km,448 L,"€56,990","€55,200","£52,950"
BMW iX3 ,385 km,"74,0 kWh",192 Wh/km,750 kg,104 kW,2.260 kg,"6,8 sec",411 km,€175 /km,510 L,"€67,300","€67,500",N/A
Renault Zoe Q210,130 km,"23,3 kWh",179 Wh/km,unknown,33 kW,1.503 kg,"13,5 sec",148 km,€145 /km,338 L,N/A,"€20,990","£14,495"
Mercedes-Benz EQS 580 4MATIC,640 km,"118,0 kWh",184 Wh/km,1.700 kg,160 kW,2.635 kg,"4,4 sec",688 km,€245 /km,620 L,"€141,705","€171,405",N/A
Audi e-tron 50 quattro,280 km,"64,7 kWh",231 Wh/km,1.800 kg,114 kW,2.445 kg,"6,8 sec",299 km,€251 /km,660 L,"€69,100",N/A,"£62,035"
Opel Mokka Electric,285 km,"50,8 kWh",178 Wh/km,0 kg,85 kW,1.615 kg,"9,0 sec",301 km,€130 /km,310 L,"€36,740","€35,999","£33,245"
Kia Soul EV ,170 km,"30,0 kWh",176 Wh/km,0 kg,40 kW,1.580 kg,"11,2 sec",172 km,€190 /km,281 L,"€29,490","€36,335","£26,995"
Maserati Grecale Folgore,400 km,"95,0 kWh",238 Wh/km,1.800 kg,110 kW,2.555 kg,"4,1 sec",402 km,€313 /km,535 L,"€124,301","€124,600","£109,905"
Renault Kangoo Maxi ZE 33,160 km,"31,0 kWh",194 Wh/km,0 kg,0 kW,1.630 kg,"22,4 sec",115 km,€236 /km,1.300 L,"€38,000","€38,801","£31,680"
Mercedes-Benz EQB 350 4MATIC,340 km,"66,5 kWh",196 Wh/km,0 kg,100 kW,2.175 kg,"6,2 sec",350 km,€188 /km,495 L,"€58,197","€68,266","£56,810"
Volkswagen ID.4 Pro,410 km,"77,0 kWh",188 Wh/km,1.000 kg,125 kW,2.123 kg,"10,4 sec",436 km,€126 /km,543 L,N/A,"€51,990","£44,605"
Mercedes-Benz EQE 300,515 km,"89,0 kWh",173 Wh/km,750 kg,120 kW,2.385 kg,"7,3 sec",556 km,€144 /km,430 L,"€66,402","€71,138","£74,345"
Jaguar I-Pace EV400,380 km,"84,7 kWh",223 Wh/km,750 kg,85 kW,2.226 kg,"4,8 sec",354 km,€235 /km,532 L,"€92,400","€95,450","£69,995"
Mercedes-Benz EQE 350 4MATIC,510 km,"89,0 kWh",175 Wh/km,750 kg,120 kW,2.475 kg,"6,3 sec",547 km,€157 /km,430 L,"€74,149","€86,263",N/A
Audi SQ6 e-tron ,470 km,"94,9 kWh",202 Wh/km,2.400 kg,200 kW,2.425 kg,"4,3 sec",559 km,€214 /km,578 L,"€93,800","€101,400","£92,950"
Citroen e-C4 X ,285 km,"46,3 kWh",162 Wh/km,0 kg,78 kW,1.659 kg,"9,7 sec",318 km,€129 /km,510 L,"€35,275","€38,055","£31,960"
GWM ORA 03 48 kWh,260 km,"45,4 kWh",175 Wh/km,0 kg,45 kW,1.615 kg,"8,3 sec",247 km,€123 /km,228 L,"€26,990",N/A,"£31,995"
BMW i5 eDrive40 Touring,465 km,"81,2 kWh",175 Wh/km,1.500 kg,136 kW,2.255 kg,"6,1 sec",529 km,€164 /km,570 L,"€72,200","€80,665",N/A
Mercedes-Benz EQE 500 4MATIC,505 km,"90,6 kWh",179 Wh/km,750 kg,141 kW,2.485 kg,"4,7 sec",555 km,€200 /km,430 L,"€88,215","€113,488",N/A
Porsche Taycan 4 Cross Turismo,420 km,"83,7 kWh",199 Wh/km,0 kg,216 kW,2.320 kg,"5,1 sec",531 km,€238 /km,530 L,"€98,514","€104,000","£84,500"
Audi e-tron Sportback 55 quattro,380 km,"86,5 kWh",228 Wh/km,1.800 kg,146 kW,2.565 kg,"5,7 sec",399 km,€209 /km,615 L,"€83,750","€68,815","£74,635"
Volvo XC40 Recharge Twin Motor,385 km,"79,0 kWh",205 Wh/km,1.800 kg,125 kW,2.170 kg,"4,8 sec",419 km,€155 /km,441 L,"€59,950","€59,995","£51,755"
Volkswagen ID.4 Pro 4MOTION,435 km,"77,0 kWh",177 Wh/km,1.200 kg,120 kW,2.237 kg,"6,6 sec",477 km,€118 /km,543 L,"€49,020","€51,990","£46,080"
Audi S6 Sportback e-tron ,550 km,"94,9 kWh",173 Wh/km,2.100 kg,200 kW,2.400 kg,"3,9 sec",666 km,€189 /km,529 L,"€99,500","€99,990","£97,500"
Kia Soul EV ,155 km,"27,0 kWh",174 Wh/km,0 kg,40 kW,1.565 kg,"11,2 sec",162 km,€199 /km,281 L,"€28,890","€34,455","£25,495"
Dongfeng Box 31.4 kWh,190 km,"29,0 kWh",153 Wh/km,unknown,50 kW,1.251 kg,"12,5 sec",205 km,€118 /km,326 L,N/A,"€22,400",N/A
Citroen e-C4 ,290 km,"46,3 kWh",160 Wh/km,0 kg,78 kW,1.536 kg,"10,8 sec",317 km,€113 /km,380 L,"€31,900","€35,215","£26,890"
